ID,SymbolValue,XCoord,YCoord,
coh4-29-1889,Canyon of Hero Marker,40.7043991,-74.0131989,
coh9-30-1899,Canyon of Hero Marker,40.7044983,-74.0131989,
coh6-18-1910,Canyon of Hero Marker,40.7044983,-74.0131989,
coh9-8-1919,Canyon of Hero Marker,40.7046013,-74.0131989,
coh11-18-1919,Canyon of Hero Marker,40.7047005,-74.0131989,
coh10-21-1921,Canyon of Hero Marker,40.7047005,-74.0131989,
coh11-18-1922,Canyon of Hero Marker,40.7047997,-74.0131989,
coh8-6-1924,Canyon of Hero Marker,40.7047997,-74.0131989,
coh5-27-1926,Canyon of Hero Marker,40.7048988,-74.0131989,
coh7-2-1926,Canyon of Hero Marker,40.7052002,-74.013298,
coh8-27-1926,Canyon of Hero Marker,40.7052002,-74.013298,
coh9-10-1926,Canyon of Hero Marker,40.7052994,-74.013298,
coh6-13-1927,Canyon of Hero Marker,40.7053986,-74.013298,
coh11-11-1927,Canyon of Hero Marker,40.7055016,-74.013298,
coh1-20-1928,Canyon of Hero Marker,40.7055016,-74.013298,
coh5-4-1928,Canyon of Hero Marker,40.7056007,-74.013298,
coh10-16-1928,Canyon of Hero Marker,40.7056999,-74.0131989,
coh10-4-1929,Canyon of Hero Marker,40.7057991,-74.0131989,
coh5-26-1930,Canyon of Hero Marker,40.7057991,-74.0130997,
coh4-30-1928,Canyon of Hero Marker,40.7056007,-74.013298,
coh6-11-1930,Canyon of Hero Marker,40.7058983,-74.0130997,
coh7-2-1930,Canyon of Hero Marker,40.7058983,-74.0130997,
coh7-2-1931,Canyon of Hero Marker,40.7060013,-74.0130997,
coh10-22-1931,Canyon of Hero Marker,40.7060013,-74.0130005,
coh11-30-1931,Canyon of Hero Marker,40.7060013,-74.0130005,
coh7-26-1933,Canyon of Hero Marker,40.7061005,-74.0130005,
coh8-1-1933,Canyon of Hero Marker,40.7061005,-74.0130005,
coh9-3-1936,Canyon of Hero Marker,40.7061005,-74.0129013,
coh4-27-1939,Canyon of Hero Marker,40.7061996,-74.0129013,
coh6-19-1945,Canyon of Hero Marker,40.7062988,-74.0128021,
coh9-13-1945,Canyon of Hero Marker,40.7064018,-74.0127029,
coh10-27-1945,Canyon of Hero Marker,40.706501,-74.0127029,
coh3-15-1946,Canyon of Hero Marker,40.706501,-74.0126038,
coh10-25-1946,Canyon of Hero Marker,40.7066002,-74.0126038,
coh1-13-1947,Canyon of Hero Marker,40.7066002,-74.0124969,
coh6-9-1947,Canyon of Hero Marker,40.7066002,-74.0124969,
coh11-5-1947,Canyon of Hero Marker,40.7066994,-74.0124969,
coh11-18-1947,Canyon of Hero Marker,40.7066994,-74.0124969,
coh3-9-1948,Canyon of Hero Marker,40.7066994,-74.0124969,
coh2-3-1949,Canyon of Hero Marker,40.7070007,-74.0122986,
coh5-19-1949,Canyon of Hero Marker,40.7070999,-74.0121994,
coh10-4-1949,Canyon of Hero Marker,40.7070999,-74.0121994,
coh11-21-1949,Canyon of Hero Marker,40.7070999,-74.0121002,
coh4-28-1950,Canyon of Hero Marker,40.7071991,-74.0121002,
coh5-8-1950,Canyon of Hero Marker,40.7072983,-74.012001,
coh6-2-1950,Canyon of Hero Marker,40.7072983,-74.012001,
coh8-22-1950,Canyon of Hero Marker,40.7072983,-74.0119019,
coh8-31-1950,Canyon of Hero Marker,40.7074013,-74.0119019,
coh4-3-1951,Canyon of Hero Marker,40.7075005,-74.0118027,
coh5-9-1951,Canyon of Hero Marker,40.7075005,-74.0118027,
coh6-25-1951,Canyon of Hero Marker,40.7075996,-74.0117035,
coh9-28-1951,Canyon of Hero Marker,40.7075996,-74.0117035,
coh10-29-1951,Canyon of Hero Marker,40.707901,-74.0114975,
coh1-17-1952,Canyon of Hero Marker,40.7080002,-74.0113983,
coh5-14-1952,Canyon of Hero Marker,40.7080002,-74.0113983,
coh7-18-1952,Canyon of Hero Marker,40.7080002,-74.0113983,
coh1-30-1953,Canyon of Hero Marker,40.7080994,-74.0112991,
coh4-24-1953,Canyon of Hero Marker,40.7080994,-74.0112991,
coh7-21-1953,Canyon of Hero Marker,40.7081985,-74.0112991,
coh11-5-1953,Canyon of Hero Marker,40.7083015,-74.0111008,
coh2-1-1954,Canyon of Hero Marker,40.7084007,-74.0111008,
coh4-22-1954,Canyon of Hero Marker,40.7084999,-74.0110016,
coh7-26-1954,Canyon of Hero Marker,40.7084999,-74.0110016,
coh8-2-1954,Canyon of Hero Marker,40.7085991,-74.0109024,
