ID,SymbolValue,XCoord,YCoord,Month,Day,Year,Title of Plaque,Brochure Description,Image name associated,Categories (separated by #),Picture of actual plaque (link to dropbox),Historic picture of parade/event (link to dropbox)
coh-intro,Canyon of Hero Marker,40.7047997,-74.0140991,,,,This intro needs to be rewritten.,These granite panels commemorate the New York City of ticker-tape parades up broadway from The Battery to City Hall. This celebrated route is called the Canyon of the Heroes,,,,
coh10-28-1886,Canyon of Hero Marker,40.7047997,-74.0140991,10,28,1886,DEDICATION OF THE STATUE OF LIBERTY - what does this description have to do with the Statue?,"The New York Times reported that the festivities of the day inspired so many office boys to throw ticker tape out the windows that# within a minute# ""the air was white with curling streamers.""",001.tif,ushistory,,
coh4-29-1889,Canyon of Hero Marker,40.7043991,-74.0131989,4,29,1889,CENTENNIAL OF GEORGE WASHINGTON'S INAUGURATION AS FIRST PRESIDENT OF THE UNITED STATES,One hundred years after George Washington took the oath of office at Federal Hall# on the corner of Wall and Broad Streets# New Yorkers took pride in remembering that their city had been the site of the nation's first capital.,002.tif,ushistory# usleaders,,
coh9-30-1899,Canyon of Hero Marker,40.7044983,-74.0131989,9,30,1899,ADM. GEORGE DEWEY#  HERO OF THE BATTLE OF MANILA  DURING THE SPANISH-AMERICAN WAR,Dewey's squadron slipped into Manila harbor at midnight on May 2# 1898# and in 12 hours destroyed the Spanish ﬂeet# with only eight Americans wounded. On his return to the U.S.# Dewey was greeted with wild enthusiasm and was brieﬂy considered a potential presidential candidate.,,ushistory# usleaders# military,,
coh6-18-1910,Canyon of Hero Marker,40.7044983,-74.0131989,6,18,1910,THEODORE ROOSEVELT# FORMER PRESIDENT OF THE UNITED STATES# ON HIS RETURN FROM AN AFRICAN SAFARI,"Although Roosevelt was fond of quoting the old West African proverb ""Speak softly and carry a big stick# you will go far#"" his weapon of choice on safari was a gun with which he bagged 17 lions# 11 elephants# 20 rhinoceroses# and 464 other animals. The only native New Yorker to serve as president of the United States# Roosevelt succeeded William McKinley following his assassination in 1901.",004a.tif# 004b.tif,ushistory# usleaders,,
coh5-9-1917,Canyon of Hero Marker,40.7048988,-74.0140991,5,9,1917,JOSEPH J. C. JOFFRE# MARSHAL OF FRANCE,The enthusiastic reception extended to the French military leader reflected the fever pitch of emotions accompanying U.S. entry into World War I on April 6.,,foreigndignitaries# military,,
coh9-8-1919,Canyon of Hero Marker,40.7046013,-74.0131989,9,8,1919,GEN. JOHN J. PERSHING# COMMANDER IN CHIEF# AMERICAN EXPEDITIONARY FORCE IN WORLD WAR I,Following his victory in Europe# Pershing was promoted to be general of the armies—a rank previously held only by George Washington. Born in Missouri and trained at West Point (class of 1886)# Pershing earned a reputation as an able soldier and administrator while stationed in Cuba# the Philippines# and Mexico before his appointment as commander in 1917.,006.tif,ushistory# usleaders# military,,
coh10-3-1919,Canyon of Hero Marker,40.7048988,-74.0140991,10,3,1919,ALBERT AND ELIZABETH# KING AND QUEEN OF THE BELGIANS,New Yorkers warmly received their noble wartime allies. Sensational newspaper stories of German atrocities in Belgium# andKing Albert's heroic resistance to the invasion# had helped convince reluctant Americans to send their sons into World War I.,007.tif,foreigndignitaries,,
coh11-18-1919,Canyon of Hero Marker,40.7047005,-74.0131989,11,18,1919,EDWARD ALBERT# PRINCE OF WALES,"After the end of World War I# the Prince of Wales set out on a world tour to promote British commerce and industry. He was 25 years old and the most popular member of the royal family. Unexpectedly# Edward's remarkable sense of style gave the greatest boost to British trade. Exports boomed as mills and factories in England worked overtime to meet the demand generated by men around the world who wanted to dress like the prince. The press carefully chronicled his ever-changing wardrobe. The Globe's description of his outfit for the City Hall reception following the parade was typical: ""He wore a light gray overcoat over a bluish gray suit with a delicate check mixture# tan cordovan brogue oxfords# heavy brown golf stockings# a blue tie with red stripes# and a black bowler hat# tilted at a rakish angle. He carried a cane that seemed class itself."" Edward ascended the throne in January 1936# only to abdicate after 325 days in order to marry ""the woman I love#"" the American divorcée Wallis Simpson. He was subsequently made Duke of Windsor# served during the war years as governor of the Bahamas# and spent the rest of his life in retirement in Paris# where he died in 1972.",008.tif,foreigndignitaries,,
coh10-19-1921,Canyon of Hero Marker,40.7048988,-74.0140991,10,19,1921,GEN. ARMANDOV. DIAZ# CHIEF OF STAFF OF THE ITALIAN ARMY,"The Italian military idol told newspaper reporters that New York reminded him of Naples: ""The spirit of the American people is the same spirit of Italy# and if it were not for the difference in language# I would imagine myself back in Italy.""",,foreigndignitaries# military,,
coh10-21-1921,Canyon of Hero Marker,40.7047005,-74.0131989,10,21,1921,ADM. LORD DAVID BEATTY# COMMANDER OF THE BRITISH AND ALLIED FLEETS DURING WORLD WAR I,For his role in luring the German fleet into the only major naval engagement with the British during the war# Beatty became known as the hero of the Battle of Jutland.,,foreigndignitaries# military,,
coh10-28-1921,Canyon of Hero Marker,40.7050018,-74.0139999,10,28,1921,FERDINAND FOCH# MARSHAL OF FRANCE# COMMANDER OF THE ALLIED ARMIES DURING WORLD WAR I,Foch was the architect of the plan that halted the last great German offensive of the war at the river Marne. Along with General Diaz and Admiral Beatty# Foch traveled to America for a conference on disarmament.,011.tif,foreigndignitaries# military,,
coh11-18-1922,Canyon of Hero Marker,40.7047997,-74.0131989,11,18,1922,GEORGES CLEMENCEAU# PREMIER OF FRANCE DURING WORLD WAR I,"Clemenceau–known as the ""Tiger of France""–made New York City his first stop on a nationwide speaking tour. He hoped to convince the American public that France was neither a militaristic nor imperialistic nation.",,foreigndignitaries,,
coh10-5-1923,Canyon of Hero Marker,40.705101,-74.0139999,10,5,1923,DAVID LLOYD GEORGE# PRIME MINISTER OF GREAT BRITAIN DURING WORLD WAR I,During his stay in New York City# the British statesman complimented the United States on its success in welding the many immigrants from the old world into a great nation.,,foreigndignitaries,,
coh8-6-1924,Canyon of Hero Marker,40.7047997,-74.0131989,8,6,1924,U.S. OLYMPIC ATHLETES# ON THEIR RETURN FROM THE PARIS GAMES,"The U.S. swept all five titles in tennis and 13 out of 16 swimming events. American swimmer Johnny Weissmuller won three gold medals. He subsequently went to Hollywood where he starred in a dozen movies as ""Tarzan the Ape Man."" Another member of the 1924 American Olympic team# rower Benjamin Spock# later achieved great renown as a pediatrician and book author.",,sports,,
coh2-16-1926,Canyon of Hero Marker,40.7052002,-74.0139008,2,16,1926,CAPT. GEORGE FRIED AND THE CREW OF THE STEAMSHIP PRESIDENT ROOSEVELT FOR RESCUING THE CREW OF THE BRITISH FREIGHTER ANTINOE,New Yorkers by the thousands braved bitter winter weather to salute Captain Fried and his crew who had battled violent seas in a North Atlantic storm for four days to save all 25 men of the Antinoe.,,ushistory,,
coh5-27-1926,Canyon of Hero Marker,40.7048988,-74.0131989,5,27,1926,GUSTAF ADOLPH AND LOUISE# CROWN PRINCE AND PRINCESS OF SWEDEN,"Newspaper reporters interviewed the prince during his New York City visit. ""It was a most amusing and interesting experience#"" said His Royal Highness# commenting on his first encounter with journalists.",016.tif,foreigndignitaries,,
coh6-23-1926,Canyon of Hero Marker,40.7052994,-74.0138016,6,23,1926,LT. COMDR. RICHARD E. BYRD AND FLOYD BENNETT FOR THE FIRST FLIGHT OVER THE NORTH POLE,Byrd and Bennett flew from Kings Bay# Spitsbergen (Norway)# to the North Pole in a Fokker trimotor. They named their aircraft the Josephine Ford# for the daughter of Edsel Ford# a primary backer of the mission. This was the first of three ticker-tape parades that Byrd would receive for daring exploits during his lifetime (see nos. 23 and 35).,,ushistory# aviation,,
coh7-2-1926,Canyon of Hero Marker,40.7052002,-74.013298,7,2,1926,BOBBY JONES# BRITISH OPEN CHAMPION,Robert Tyre Jones# Jr. had a handsome face# a sense of humor# and a flair for the dramatic—and played a great game of golf. His success on the links drew Americans to the sport in record numbers during the 1920s.,,sports,,
coh8-27-1926,Canyon of Hero Marker,40.7052002,-74.013298,8,27,1926,GERTRUDE EDERLE# FIRST WOMAN TO SWIM THE ENGLISH CHANNEL,"Ederle's accomplishment inspired countless female athletes and brought her world-wide fame# far greater than the accolades she received for winning three swimming medals in the 1924 Olympics. The 19-year-old native New Yorker swam the entire 35 grueling miles from Cap Gris-Nez# France# to Dover# England# using the crawl# a stroke then considered too tiring for long-distance swimming. Her record-breaking 14-hour and 31-minute time beat the five previous successful crossings# all made by men using the breaststroke# and was not bested until 1964. When asked why she undertook such a difficult task# she said she wanted to bring honor to the United States. She also added that her father had promised her ""a small roadster"" if she succeeded. After losing her hearing in 1930 and suffering a debilitating back injury in 1933# she spent many years teaching deaf children to swim.",019.tif,sports,,
coh9-10-1926,Canyon of Hero Marker,40.7052994,-74.013298,9,10,1926,MILLE GADE CORSON# FIRST MOTHER AND SECOND WOMAN TO SWIM THE ENGLISH CHANNEL,"""I've got to make some money for my kids#"" was the thought that inspired the Danish-American 27-year-old mother of two to make her 15-hour-38-minute crossing. She was an hour slower than Gertrude Ederle# but still faster than any male swimmer. Corson went on the lecture circuit to capitalize on her well-publicized athletic feat.",,sports,,
coh10-18-1926,Canyon of Hero Marker,40.7055016,-74.0137024,10,18,1926,MARIE# QUEEN OF RUMANIA,The granddaughter of Czar Alexander II of Russia and Queen Victoria of England# Marie was instrumental in bringing Romania into WWI on the side of the Allies. Marie had just two hours for her visit# but that was long enough for New Yorkers to express their appreciation with a ticker-tape parade.,021.tif,foreigndignitaries,,
coh6-13-1927,Canyon of Hero Marker,40.7053986,-74.013298,6,13,1927,CHARLES A. LINDBERGH# FOR THE FIRST SOLO NONSTOP TRANSATLANTIC FLIGHT,The moment he landed in Paris on May 21# 1927—33 hours# 30 minutes# and 28 seconds after leaving Long Island—Lindbergh became the focus of unprecedented world adulation# and the first media superstar of the 20th century. His ticker-tape parade had ten thousand soldiers and sailors leading the way# and shredded paper and confetti so thick that few could even see the young aviator.,022a.tif# 022b.tif,aviation,,
